x,z
46541.3106256213,-670.978647867839
46730.5029452376,-757.749099731445
46919.695264854,-829.887578328451
47108.8875844703,-889.050903320313
47298.0799040866,-954.128718058268
47487.272223703,-1010.14047749837
47676.4645433193,-1070.27885945638
47865.6568629357,-1131.17935180664
48054.849182552,-1190.23138427734
48244.0415021684,-1247.97591145833
48433.2338217847,-1315.73648071289
48622.4261414011,-1365.61079915365
48811.6184610174,-1405.04354858398
49000.8107806338,-1457.02366129557
49190.0031002501,-1530.22770182292
49379.1954198665,-1601.4577738444
49568.3877394828,-1667.08085123698
49757.5800590991,-1714.91271972656
49946.7723787155,-1762.53342692057
50135.9646983318,-1790.32995605469
50325.1570179482,-1831.19883219401
50514.3493375645,-1874.72577921549
50703.5416571809,-1924.26774088542
50892.7339767972,-1947.94155883789
51081.9262964136,-1960.70317586263
51271.1186160299,-1955.70823160807
51460.3109356463,-1963.92958577474
51649.5032552626,-1963.54993693034
51838.695574879,-1970.74671427409
52027.8878944953,-1996.11997477214
52217.0802141117,-2020.51966349284
52406.272533728,-2041.09735107422
52595.4648533443,-2042.08097330729
52784.6571729607,-2068.41720581055
52973.849492577,-2097.77477010091
53163.0418121934,-2130.48505655924
53352.2341318097,-2127.1266784668
53541.4264514261,-2101.84483846029
53730.6187710424,-2121.21088663737
53919.8110906588,-2121.11600748698
54109.0034102751,-2111.71104939779
54298.1957298915,-2105.74858601888
54487.3880495078,-2131.62935384115
54676.5803691242,-2150.96547444661
54865.7726887405,-2191.67565917969
55054.9650083568,-2179.44887288411
55244.1573279732,-2095.72385660807
55433.3496475895,-2031.54221598307
55622.5419672059,-1994.22219848633
55811.7342868222,-1978.34505208333
56000.9266064386,-2000.48015340169
56190.1189260549,-2027.23209635417
56379.3112456713,-1980.73745727539
56568.5035652876,-1902.59323120117
56757.695884904,-1798.28479003906
56946.8882045203,-1705.21524047852
57136.0805241367,-1606.72297159831
57325.272843753,-1465.65416463216
57514.4651633694,-1440.90710449219
57703.6574829857,-1513.50666300456
57892.849802602,-1570.68666585286
58082.0421222184,-1614.25610351563
58271.2344418347,-1644.5198059082
58460.4267614511,-1667.16074625651
58649.6190810674,-1687.13934326172
58838.8114006838,-1710.86894734701
59028.0037203001,-1687.43940226237
59217.1960399165,-1650.65846761068
59406.3883595328,-1549.84560139974
59595.5806791492,-1468.82878621419
59784.7729987655,-1427.39207967122
59973.9653183819,-1519.20049031576
60163.1576379982,-1586.17324829102
60352.3499576146,-1637.87330118815
60541.5422772309,-1673.19034830729
60730.7345968473,-1678.44971720378
60919.9269164636,-1640.32495117188
61109.1192360799,-1601.40225219727
61298.3115556963,-1533.353515625
61487.5038753126,-1511.34927368164
61676.696194929,-1528.48210652669
61865.8885145453,-1573.90097045898
62055.0808341617,-1620.14911905924
62244.273153778,-1682.08735148112
62433.4654733944,-1739.37439982096
62622.6577930107,-1790.76944986979
62811.8501126271,-1847.81578572591
63001.0424322434,-1923.31907145182
63190.2347518598,-2011.06214396159
63379.4270714761,-2076.1767985026
63568.6193910924,-2122.17405192057
63757.8117107088,-2188.76157633464
63947.0040303251,-2272.13163248698
64136.1963499415,-2320.87418619792
64325.3886695578,-2357.58231608073
64514.5809891742,-2336.13682047526
64703.7733087905,-2277.91701253255
64892.9656284069,-2209.3163655599
65082.1579480232,-2131.04608154297
65271.3502676396,-2050.44137573242
65460.5425872559,-1947.85705566406
65649.7349068723,-1863.96164957682
65838.9272264886,-1794.17969767253
66028.119546105,-1732.26738484701
66217.3118657213,-1685.19702148438
66406.5041853376,-1634.08801269531
66595.696504954,-1561.01812744141
66784.8888245703,-1479.16328938802
66974.0811441867,-1413.67194620768
67163.273463803,-1347.23162841797
67352.4657834194,-1322.84571329753
67541.6581030357,-1328.15708414714
67730.8504226521,-1363.82239786784
67920.0427422684,-1401.35744222005
68109.2350618848,-1436.10258992513
68298.4273815011,-1468.79288736979
68487.6197011175,-1549.2438659668
68676.8120207338,-1549.1591796875
68866.0043403501,-1543.28642781576
69055.1966599665,-1535.75958251953
69244.3889795828,-1504.0412902832
69433.5812991992,-1486.36635335286
69622.7736188155,-1525.09238688151
69811.9659384319,-1515.20845540365
70001.1582580482,-1535.33361816406
70190.3505776646,-1614.85112508138
70379.5428972809,-1702.82200113932
70568.7352168973,-1752.47145589193
70757.9275365136,-1779.84308878581
70947.11985613,-1799.39041137695
71136.3121757463,-1757.10383097331
71325.5044953626,-1706.65713500977
71514.696814979,-1647.4758199056
71703.8891345953,-1570.796875
71893.0814542117,-1505.62448120117
72082.273773828,-1448.01401774089
72271.4660934444,-1395.7646484375
72460.6584130607,-1336.41822306315
72649.8507326771,-1290.1433207194
72839.0430522934,-1240.68205769857
73028.2353719098,-1175.04428100586
73217.4276915261,-1111.47171020508
73406.6200111425,-1046.06754557292
73595.8123307588,-978.086883544922
73785.0046503752,-914.075439453125
73974.1969699915,-857.041615804036
74163.3892896078,-790.873102823893
74352.5816092242,-819.466740926107
74541.7739288405,-939.02598063151
74730.9662484569,-997.325932820638
74920.1585680732,-1056.67759195964
75109.3508876896,-1117.66851806641
75298.5432073059,-1174.12060546875
75487.7355269223,-1247.21669514974
75676.9278465386,-1348.26279703776
75866.120166155,-1458.17718505859
76055.3124857713,-1564.84190877279
76244.5048053877,-1684.25950113932
76433.697125004,-1793.43979899089
76622.8894446204,-1866.84262084961
76812.0817642367,-1855.42126464844
77001.2740838531,-1808.90182495117
77190.4664034694,-1750.48560587565
77379.6587230857,-1703.17831420898
77568.8510427021,-1685.31219482422
77758.0433623184,-1671.83030192057
77947.2356819348,-1635.57636515299
78136.4280015511,-1586.35987345378
78325.6203211675,-1531.13233439128
78514.8126407838,-1485.82334391276
78704.0049604002,-1511.58069864909
78893.1972800165,-1576.73378499349
79082.3895996329,-1667.76927693685
79271.5819192492,-1664.85995483398
79460.7742388656,-1619.12237548828
79649.9665584819,-1576.62917073568
79839.1588780983,-1532.3462117513
80028.3511977146,-1581.04524739583
80217.5435173309,-1652.43031819661
80406.7358369473,-1673.92245483398
80595.9281565636,-1628.16569010417
80785.12047618,-1574.65696207682
80974.3127957963,-1525.98357137044
81163.5051154127,-1527.63369750977
81352.697435029,-1561.72956339518
81541.8897546454,-1685.50482177734
81731.0820742617,-1713.12834676107
81920.2743938781,-1688.64801025391
82109.4667134944,-1661.43706258138
82298.6590331108,-1605.12213134766
82487.8513527271,-1538.5769144694
82677.0436723435,-1488.70969645182
82866.2359919598,-1430.94051106771
83055.4283115761,-1385.45701090495
83244.6206311925,-1349.01054890951
83433.8129508088,-1307.28556315104
83623.0052704252,-1237.14903767904
83812.1975900415,-1186.03188069661
84001.3899096579,-1241.65454101563
84190.5822292742,-1380.82797241211
84379.7745488906,-1478.89865112305
84568.9668685069,-1486.38495890299
84758.1591881233,-1460.81634521484
84947.3515077396,-1438.79373168945
85136.543827356,-1452.00502522786
85325.7361469723,-1480.64536539714
85514.9284665887,-1529.40115356445
85704.120786205,-1511.61114501953
85893.3131058213,-1505.94536336263
86082.5054254377,-1548.20904541016
86271.697745054,-1621.59679158529
86460.8900646704,-1588.80518595378
86650.0823842867,-1504.73385620117
86839.2747039031,-1436.7744547526
87028.4670235194,-1399.16838582357
87217.6593431358,-1485.15618896484
87406.8516627521,-1657.1623840332
87596.0439823685,-1814.85658772786
87785.2363019848,-1969.76293945313
87974.4286216012,-2025.94160970052
88163.6209412175,-2107.16071573893
88352.8132608338,-2236.23575846354
88542.0055804502,-2359.58504231771
88731.1979000665,-2411.04864501953
