DBID,X,Y,PX,PY,u_loc,u_scale,u_mean,u_sd,dpl_m,z_m
4115,542829.487219732,3264482.55269706,581113.736060129,3266896.01140624,-3.190829,1.061367,0.072272,0.108789,159308.6159458,5880.631348
4117,593195.943728962,3281965.17528715,580215.354471989,3281146.87227373,-2.277463,1.142531,0.196163,0.311939,173587.765953499,5042.176758
4123,569260.255421432,3281315.10702108,580161.426454054,3282002.32244167,-2.473983,1.119931,0.156541,0.235654,174444.914260943,4976.347656
4127,556300.908555275,3278270.40184299,580301.308503345,3279783.39938201,-1.571016,1.216738,0.435448,0.771746,172221.586455054,5393.352051
4128,551359.428105747,3275782.61970501,580437.958536402,3277615.74519771,-2.001114,1.165424,0.271574,0.490057,170049.629297503,5746.344238
4130,546412.376823532,3274253.06694974,580514.41836025,3276402.87716257,-2.399665,1.126038,0.170574,0.260768,168834.353618772,5631.963379
4131,538272.479618484,3285983.07458732,579745.658968784,3288597.56511364,-3.212215,1.06868,0.071012,0.099629,181053.249036353,5007.396484
4132,534726.348367468,3284797.86452046,579806.042546613,3287639.71159384,-3.481496,1.040811,0.052816,0.07234,180093.494097918,4974.583984
4133,539887.372347869,3270996.55099072,580693.069757416,3273568.96311268,-2.505435,1.113742,0.151529,0.236296,165994.814014561,5786.48584
4136,536094.293908112,3255300.43005037,581663.630075762,3258173.14440619,-2.347482,1.144769,0.184821,0.319575,150568.433331628,5972.986328
4142,603943.16388527,3281327.94036549,580297.908605722,3279837.33132878,-1.952758,1.165733,0.278852,0.458124,172275.625461209,4887.053711
4144,616230.279609628,3288135.04635298,579919.120795936,3285845.97225243,-2.67455,1.115351,0.12704,0.190592,178296.194035211,4776.133301
4153,621922.784917097,3278066.11321426,580573.892003365,3275459.45776873,-2.342152,1.138617,0.183791,0.296269,167889.061459226,4803.597656
4154,625909.920542833,3278631.60383002,580554.166875297,3275772.3538247,-2.806778,1.091612,0.109544,0.16455,168202.578639805,4992.005859
4155,629851.881823098,3277665.94304248,580630.405420576,3274562.99589056,-3.048071,1.072281,0.084309,0.121629,166990.82002991,5075.409668
4158,623784.764196971,3271506.07025062,580993.173913727,3268808.46642197,-2.417485,1.120393,0.166847,0.276559,161224.867343271,5031.767578
4159,625610.984386393,3257983.08112004,581849.524458861,3255224.3362109,-2.48167,1.118755,0.156665,0.247108,147613.771507622,4958.625488
4160,629563.814351479,3268802.61754482,581185.801996206,3265752.84279964,-2.535078,1.128383,0.150188,0.24021,158163.17805474,5070.165039
4161,630190.443094626,3263247.38946068,581537.100618903,3260180.2577633,-2.735758,1.103603,0.119482,0.190061,152579.530975141,4918.727539
4162,588257.355166667,3250859.06890176,582148.988450947,3250473.99432682,-2.869603,1.096381,0.102536,0.144683,142853.999801101,4276.308105
4163,580617.439631083,3252236.67085783,582032.245826853,3252325.86096704,-2.882776,1.084258,0.100702,0.143677,144709.542550115,4900.077148
4164,576618.239862114,3255305.52256147,581823.719300716,3255633.67865875,-2.587674,1.104439,0.139196,0.21672,148023.926534161,5063.422852
4165,608094.858821007,3253136.95601125,582084.481982543,3251497.24849677,-1.569031,1.208829,0.434393,0.771108,143879.285215404,4196.374023
4166,614008.42452143,3250201.4355532,582292.214288607,3248202.02937109,-2.304132,1.151113,0.191942,0.300199,140577.524806589,4581.258301
4167,589439.31710329,3236431.91518836,583059.562156329,3236029.73215995,-1.612168,1.20754,0.415822,0.760741,128381.064576399,4262.26416
4168,576665.518100361,3246026.25143757,582406.560932195,3246388.16972621,-3.235254,1.055214,0.067655,0.087454,138760.064499944,4954.305176
4169,593882.571652116,3229878.11631129,583488.669650795,3229222.87939096,-0.741317,1.288054,1.07583,2.071538,121560.69964038,3403.805176
4170,582459.272549536,3226252.81275563,583671.088292231,3226329.20624242,-1.920485,1.176555,0.294871,0.49683,118661.282310758,4164.616211
4171,582228.241193868,3237832.55136581,582943.070699208,3237877.61458495,-2.743479,1.093207,0.117163,0.179461,130232.615201209,4555.510254
4172,573803.724212587,3238425.25331634,582872.506965168,3238996.95403867,-2.687642,1.104161,0.124987,0.187611,131354.176636534,4729.193359
